0 0 0
5000 6225050 6230043
10000 24962604 24972597
15000 56254382 56269375
20000 100276998 100296991
25000 156792162 156817155
30000 226290522 226320515
35000 307730237 307765230
40000 401261614 401301607
45000 507009992 507054985
50000 624889762 624939755
